compound_id,matched_to,chembl_id,smiles,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge,max_tc_to_actives
DEC_0001,ACT_001,CHEMBL20656,OC1CCCCC1N1CCC(CCC2CCN(C3CCCCC3O)CC2)CC1,392.6280000000003,3.7976000000000028,2,4,5,46.94,28,0,0.12857142857142856
DEC_0002,ACT_001,CHEMBL20533,O=NN(CCCl)C(=O)NC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,413.599,3.4769000000000005,1,3,4,61.77,25,0,0.13095238095238096
DEC_0003,ACT_001,CHEMBL32849,C=C1/C=C(\C)[C@H](CC)OC(=O)[C@H](C)C(=O)[C@@](O)(CO)C/C(SC)=C/[C@@H](C)C1,396.54900000000015,3.416100000000002,2,6,3,83.83000000000001,27,0,0.13095238095238096
DEC_0004,ACT_001,CHEMBL267154,C(=C1/CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,385.5150000000001,3.070000000000001,2,5,4,52.019999999999996,29,0,0.13186813186813187
DEC_0005,ACT_001,CHEMBL24250,C(=C1\CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,385.5150000000001,3.070000000000001,2,5,4,52.019999999999996,29,0,0.13186813186813187
DEC_0006,ACT_001,CHEMBL20720,OC1CCCCC1N1CCC(CCCC2CCN(C3CCCCC3O)CC2)CC1,406.6550000000003,4.187700000000004,2,4,6,46.94,29,0,0.1323529411764706
DEC_0007,ACT_001,CHEMBL9029,CC(=O)OC[C@]1(C)CCC[C@@]2(C)C1[C@H](O)CC1C[C@H](OC(C)=O)[C@@]3(C)CC[C@]12C3,406.5630000000003,4.2550000000000034,1,5,3,72.83000000000001,29,0,0.13333333333333333
DEC_0008,ACT_001,CHEMBL16690,CC(C)CN(C=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@@]21C,388.59600000000023,4.332800000000003,0,2,4,40.620000000000005,28,0,0.13333333333333333
DEC_0009,ACT_001,CHEMBL274276,CCCN(C=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@@]21C,374.56900000000024,4.086800000000003,0,2,4,40.620000000000005,27,0,0.1348314606741573
DEC_0010,ACT_001,CHEMBL22643,CN(CCF)Cc1ccccc1Sc1ccc(I)cc1N,416.30300000000005,4.425900000000004,1,3,6,29.259999999999998,21,0,0.13580246913580246
DEC_0011,ACT_001,CHEMBL17268,CC(C)N(C=O)[C@H]1CCC2C3CC[C@H]4N(C)C(=O)CC[C@]4(C)C3CC[C@@]21C,374.56900000000024,4.085200000000003,0,2,3,40.620000000000005,27,0,0.136986301369863
DEC_0012,ACT_001,CHEMBL12717,CCCCC[C@](C)(O)/C=C/C1[C@H](O)C[C@@H]2OC(=O)C(F)(F)CC/C=C\C[C@H]12,386.4790000000001,4.158100000000004,2,4,6,66.75999999999999,27,0,0.14
DEC_0013,ACT_001,CHEMBL269121,CCCc1cc(=O)oc2c(C(=O)C(C)(C)C(C)O)c(O)c3c(c12)OC(C)(C)C=C3,400.4710000000002,4.225000000000005,2,6,5,96.97000000000001,29,0,0.1414141414141414
DEC_0014,ACT_001,CHEMBL268340,CC12CCC(O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,418.5300000000002,2.755800000000001,2,6,3,93.06000000000002,30,0,0.14285714285714285
DEC_0015,ACT_001,CHEMBL7242,CCCc1cc(=O)oc2c(C(=O)[C@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3,386.44400000000013,3.8349000000000038,2,6,5,96.97000000000001,28,0,0.14432989690721648
DEC_0016,ACT_001,CHEMBL7211,CCCc1cc(=O)oc2c(C(=O)[C@@H](C)[C@H](C)O)c(O)c3c(c12)OC(C)(C)C=C3,386.44400000000013,3.8349000000000038,2,6,5,96.97000000000001,28,0,0.14432989690721648
DEC_0017,ACT_001,CHEMBL273242,O=C1O[C@H](c2ccccc2Cl)[C@@](Cn2cncn2)(c2ccccc2Cl)O1,390.2260000000001,4.388500000000001,0,5,4,66.24000000000001,26,0,0.14444444444444443
DEC_0018,ACT_001,CHEMBL6383,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(O)CC12O,418.53000000000014,2.755800000000001,2,6,3,93.06000000000002,30,0,0.14457831325301204
DEC_0019,ACT_001,CHEMBL278118,Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,415.15400000000017,4.238900000000003,1,4,3,27.63,20,0,0.14457831325301204
