compound_id,filter_hit
DEC_3248,Thiocarbonyl_group
DEC_2293,amino_acridine_A(46)
DEC_2352,nitro_group
DEC_2168,Aliphatic_long_chain
DEC_2919,Michael_acceptor_1
DEC_3220,triple_bond
DEC_2004,Aliphatic_long_chain
DEC_1781,het-C-het_not_in_ring
DEC_2197,Polycyclic_aromatic_hydrocarbon_2
DEC_1944,nitro_group
DEC_1981,N-hydroxyl_pyridine
DEC_3341,aniline
DEC_1995,triple_bond
DEC_3135,Aliphatic_long_chain
DEC_1953,isolated_alkene
DEC_3409,Sulfonic_acid_2
DEC_1670,Aliphatic_long_chain
DEC_2969,Aliphatic_long_chain
DEC_2982,triple_bond
DEC_1643,imine_1
DEC_1753,nitro_group
DEC_2416,hydroxamic_acid
DEC_3019,imine_1
DEC_2970,imine_1
DEC_1916,diketo_group
DEC_1736,indol_3yl_alk(461)
DEC_1845,aniline
DEC_3385,Aliphatic_long_chain
DEC_3408,catechol_A(92)
DEC_2340,nitro_group
DEC_3105,catechol_A(92)
DEC_2269,iodine
DEC_2363,Sulfonic_acid_2
DEC_2140,Aliphatic_long_chain
DEC_3201,Aliphatic_long_chain
DEC_3351,aniline
DEC_2322,Aliphatic_long_chain
DEC_1889,phthalimide
DEC_3132,nitro_group
DEC_1952,triple_bond
DEC_2424,isolated_alkene
DEC_1888,iodine
DEC_3405,aldehyde
DEC_3111,Sulfonic_acid_1
DEC_3003,mannich_A(296)
DEC_2052,iodine
DEC_3291,N_oxide
DEC_1761,isolated_alkene
DEC_2411,imine_1
DEC_3037,N_oxide
DEC_1973,thioester
DEC_3020,Aliphatic_long_chain
DEC_1798,charged_oxygen_or_sulfur_atoms
DEC_2071,cyanate_/aminonitrile_/thiocyanate
DEC_2954,isolated_alkene
DEC_1820,thiaz_ene_A(128)
DEC_1703,Aliphatic_long_chain
DEC_1774,Three-membered_heterocycle
DEC_1927,2-halo_pyridine
DEC_1676,aniline
DEC_3203,phthalimide
DEC_2031,Aliphatic_long_chain
DEC_2967,Aliphatic_long_chain
