compound_id,status,pdbqt_size,note
DEC_4391,skipped,0,
DEC_1747,skipped,0,
DEC_2029,skipped,0,
DEC_3885,skipped,0,
DEC_1554,skipped,0,
DEC_0623,skipped,0,
DEC_0374,skipped,0,
DEC_1830,skipped,0,
DEC_1282,skipped,0,
DEC_3778,skipped,0,
DEC_2770,skipped,0,
DEC_0788,skipped,0,
DEC_3248,filtered,0,Thiocarbonyl_group
ACT_043,skipped,0,
DEC_2792,skipped,0,
DEC_3928,skipped,0,
DEC_3485,skipped,0,
DEC_2499,skipped,0,
DEC_0922,skipped,0,
DEC_3820,skipped,0,
DEC_1455,skipped,0,
DEC_4071,skipped,0,
DEC_2795,skipped,0,
DEC_2218,skipped,0,
DEC_0850,skipped,0,
DEC_2293,filtered,0,amino_acridine_A(46)
DEC_4372,skipped,0,
DEC_0336,skipped,0,
DEC_3578,skipped,0,
DEC_2460,skipped,0,
DEC_0676,skipped,0,
DEC_3757,skipped,0,
DEC_3545,skipped,0,
DEC_3830,skipped,0,
DEC_4543,skipped,0,
DEC_2352,filtered,0,nitro_group
DEC_1007,skipped,0,
DEC_2813,skipped,0,
DEC_2085,skipped,0,
ACT_048,skipped,0,
DEC_2994,skipped,0,
DEC_4474,skipped,0,
DEC_0319,skipped,0,
DEC_0920,skipped,0,
DEC_3713,skipped,0,
DEC_1178,skipped,0,
DEC_2682,skipped,0,
DEC_1657,skipped,0,
DEC_3589,skipped,0,
DEC_0126,skipped,0,
DEC_0318,skipped,0,
DEC_2168,filtered,0,Aliphatic_long_chain
DEC_1513,skipped,0,
DEC_2919,filtered,0,Michael_acceptor_1
DEC_2737,skipped,0,
DEC_2786,skipped,0,
DEC_4176,skipped,0,
DEC_1499,skipped,0,
DEC_2482,skipped,0,
DEC_0169,skipped,0,
DEC_1323,skipped,0,
DEC_0651,skipped,0,
DEC_3705,skipped,0,
DEC_1601,skipped,0,
DEC_4494,skipped,0,
DEC_0864,skipped,0,
DEC_4715,skipped,0,
DEC_3488,skipped,0,
DEC_4454,skipped,0,
DEC_1151,skipped,0,
DEC_3220,filtered,0,triple_bond
DEC_4763,skipped,0,
DEC_4168,skipped,0,
DEC_2004,filtered,0,Aliphatic_long_chain
DEC_1563,skipped,0,
DEC_1336,skipped,0,
DEC_0434,skipped,0,
DEC_4684,skipped,0,
DEC_0002,skipped,0,
DEC_2864,skipped,0,
DEC_1660,skipped,0,
DEC_1437,skipped,0,
ACT_041,skipped,0,
DEC_3561,skipped,0,
